ticket_id,booking_id,ticket_type,queue,request_type,created_at,created_date,created_hour,created_weekday,resolved_at,resolved_date,turnaround_minutes_generated,has_accepted_refund,has_out_of_pocket_refund,is_weekend,resolved_same_day,tickets_on_booking,is_repeat_contact_booking,contact_seq,hours_since_prev_contact
0536f630-b83e-4230-a250-22f3c35367c2,231286583,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:04:08.922,2022-06-26,0,Sunday,2022-06-26 00:33:08.922,2022-06-26,29.0,False,False,True,True,1,False,1,
bc621347-244e-4bd4-bd33-d049c968cbdf,223063533,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:05:18.138,2022-06-26,0,Sunday,2022-06-26 00:25:18.138,2022-06-26,20.0,False,False,True,True,1,False,1,
46ca3dba-efbb-44cd-aae4-cd07a6517d68,239682993,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:07:00.194,2022-06-26,0,Sunday,2022-06-26 00:32:00.194,2022-06-26,25.0,False,False,True,True,1,False,1,
1a2c8a6d-1342-43dd-8e72-77189598404e,244824745,Helpdesk EN - Refund requests,EN,Refund,2022-06-26 00:08:28.104,2022-06-26,0,Sunday,2022-06-26 00:51:28.104,2022-06-26,43.0,False,False,True,True,1,False,1,
5bd92434-b455-49bf-a7f8-79ce4c5ed757,219289213,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:11:09.328,2022-06-26,0,Sunday,2022-06-26 00:27:09.328,2022-06-26,16.0,False,False,True,True,1,False,1,
09993c53-e65f-474d-aed0-b0248dfb2114,219555226,Helpdesk EN - Refund requests,EN,Refund,2022-06-26 00:12:32.446,2022-06-26,0,Sunday,2022-06-26 00:36:32.446,2022-06-26,24.0,False,False,True,True,1,False,1,
3d827210-85b4-4ff6-9649-92a7d76c8383,238048822,Helpdesk International - Non-refund requests,International,Non-refund,2022-06-26 00:12:42.397,2022-06-26,0,Sunday,2022-06-26 00:35:42.397,2022-06-26,23.0,False,False,True,True,1,False,1,
b1581c43-b4c8-41da-977d-207c677e37f4,244003595,Helpdesk EN - Refund requests,EN,Refund,2022-06-26 00:13:09.472,2022-06-26,0,Sunday,2022-06-26 00:36:09.472,2022-06-26,23.0,False,False,True,True,1,False,1,
b0b2bebf-5dd2-4f37-b359-38a1360168e1,237402704,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:14:23.295,2022-06-26,0,Sunday,2022-06-26 00:31:23.295,2022-06-26,17.0,False,False,True,True,1,False,1,
b0e7058c-0756-426a-aadf-770af91d955f,244828573,Helpdesk International - Refund requests,International,Refund,2022-06-26 00:15:54.850,2022-06-26,0,Sunday,2022-06-26 00:35:54.850,2022-06-26,20.0,False,False,True,True,1,False,1,
8f75fbcf-afeb-47ae-8cdf-e2faceb1e687,244803647,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:18:13.612,2022-06-26,0,Sunday,2022-06-26 00:41:13.612,2022-06-26,23.0,False,False,True,True,1,False,1,
542216bd-2e7e-4382-9fad-16a110afd2c7,238937798,Helpdesk EN - Non-refund requests,EN,Non-refund,2022-06-26 00:23:08.866,2022-06-26,0,Sunday,2022-06-26 01:01:08.866,2022-06-26,38.0,False,False,True,True,1,False,1,
584980fe-a438-4224-8f2d-eba1afa4a3fb,213444363,Helpdesk International - Non-refund requests,International,Non-refund,2022-06-26 00:23:16.061,2022-06-26,0,Sunday,2022-06-26 00:59:16.061,2022-06-26,36.0,False,False,True,True,3,True,1,
f276b5ae-a439-4d50-b19d-4625e4b269f0,234489211,Helpdesk International - Non-refund requests,International,Non-refund,2022-06-26 00:24:32.557,2022-06-26,0,Sunday,2022-06-26 00:48:32.557,2022-06-26,24.0,False,False,True,True,1,False,1,
89d94d38-2fb1-443d-97a5-a269b8bbf5ad,234105828,Helpdesk International - Non-refund requests,International,Non-refund,2022-06-26 00:25:06.837,2022-06-26,0,Sunday,2022-06-26 01:05:06.837,2022-06-26,40.0,False,False,True,True,1,False,1,
